Reference, Value, Footprint, Datasheet, MANUFACTURER, MAXIMUM_PACKAGE_HEIGHT, PARTREV, STANDARD
U3,CP2103-GMR,QFN-050P5_1X5_1X1_0-28,,,,,
J1,USBCONN_MICRO,, ~,,,,
TP1,Moisture,,~,,,,
C8,100uF,,~,,,,
C1,10uF,,~,,,,
U1,ZLDO1117G33TA,SOT230P700X180-4N,,Diodes Inc.,1.8 mm,2-Jun,Manufacturer Recommendations
SW1,SW_Push,,~,,,,
R2,0(1%),,~,,,,
C7,0.1uF,,~,,,,
C3,10uF,,~,,,,
C4,2.7pF,,~,,,,
C6,4.7pF,,~,,,,
L1,1.6nH,,~,,,,
E1,PRO-OB-440,ANT_PRO-OB-440,,Proant AB,3.53mm,3.2,Manufacturer Recommendations
C5,0.1uF,,~,,,,
C2,0.1uF(25V/10%),,~,,,,
R1,10k (1%),,~,,,,
R6,10K(1%),,~,,,,
R5,2K,,~,,,,
C10,0.1uF(25V/10%),,~,,,,
R3,22.1K(1%0,,~,,,,
R4,47.5K(1%),,~,,,,
D1,D,,~,,,,
D3,D,,~,,,,
D4,D,,~,,,,
D2,D,,~,,,,
R14,0(1%),,~,,,,
R13,0(1%),,~,,,,
C9,0.1uF(25V/10%),,~,,,,
SW2,SW_Push,,~,,,,
U2,ESP32-PICO-D4,PQFN50P700X700X104-49N,,Espressif Systems,1.04 mm,v1.9,IPC 7351B
TP2,Fertility,,~,,,,
TP3,pH,,~,,,,
R11,10K(1%),,~,,,,
R12,10K(1%),,~,,,,
Q2,S8050,Package_TO_SOT_THT:TO-92_Inline,http://www.unisonic.com.tw/datasheet/S8050.pdf,,,,
Q1,S8050,Package_TO_SOT_THT:TO-92_Inline,http://www.unisonic.com.tw/datasheet/S8050.pdf,,,,
R7,1K(1%),,~,,,,
R8,1K(1%),,~,,,,
R10,0(1%),,~,,,,
R9,0(1%),,~,,,,
